ref_id,txn_date,description,amount,currency,balance
TXN-2024-P001,2024-07-01,ALPHA CORP WIRE,25000.00,USD,255999.05
TXN-2024-P002,2024-07-02,BETA LTD INV2201,8400.00,USD,264399.05
TXN-2024-P003,2024-07-03,GAMMA SUPPLIES PMT,12000.00,USD,252399.05
TXN-2024-P004,2024-07-05,OFFICE RENT JULY,6500.00,USD,245899.05
TXN-2024-P005,2024-07-08,DELTA CORP INV2205,17500.00,USD,263399.05
TXN-2024-P006,2024-07-09,PAYROLL JULY 2024,62500.00,USD,200899.05
TXN-2024-P007,2024-07-10,EPSILON ADVISORY,14250.00,USD,186649.05
TXN-2024-P008,2024-07-12,ZETA INC INV2209,5500.00,USD,192149.05
TXN-2024-P010,2024-07-16,ETA GLOBAL INV2211,44000.00,USD,236149.05
TXN-2024-P011,2024-07-17,THETA MFG PMT,18200.00,USD,217949.05
TXN-2024-P013,2024-07-22,IOTA LTD INV2215,11000.00,USD,228949.05
TXN-2024-P014,2024-07-23,TAX INSTALMENT JULY,15000.00,USD,213949.05
TXN-2024-P015,2024-07-25,KAPPA CORP INV2217,28500.00,USD,242449.05
TXN-2024-P016,2024-07-26,STAFF BONUS PAYMENT,22000.00,USD,220449.05
TXN-2024-P017,2024-07-29,LOAN INTEREST JULY,4250.00,USD,216199.05
TXN-2024-P018,2024-07-30,LAMBDA INC INV2221,9600.00,USD,225799.05
TXN-2024-P020,2024-07-31,INTEREST INCOME JULY,510.00,USD,226309.05
,2024-07-15,BANK WIRE FEE INTL,65.00,USD,226244.05
,2024-07-22,UNAUTHORIZED DEBIT — REVIEW,3500.00,USD,222744.05
,2024-07-31,BANK SERVICE CHARGE,250.00,USD,222494.05
,2024-07-31,OVERDRAFT FEE,75.00,USD,222419.05
