ref_id,txn_date,description,amount,currency,balance
TXN-20240603-001,2024-06-03,ACME CORP WIRE TRF JUNE,52000.00,USD,181648.95
TXN-20240603-002,2024-06-03,KAPPA SYSTEMS INV PMT,9800.00,USD,191448.95
TXN-20240604-003,2024-06-04,EPSILON SUPPLIES VND,14200.00,USD,177248.95
TXN-20240605-004,2024-06-05,OFFICE HQ RENT JUN24,6500.00,USD,170748.95
TXN-20240606-005,2024-06-06,RHO PARTNERS INV2101,41000.00,USD,211748.95
,2024-06-07,PAYROLL DD JUNE 2024,62500.00,USD,149248.95
TXN-20240610-007,2024-06-10,ALPHA ADVISORY FEES,15000.00,USD,134248.95
TXN-20240611-008,2024-06-11,TAU CORP INV2103,22750.00,USD,156998.95
TXN-20240612-009,2024-06-12,UPSILON MFG PMT,33100.00,USD,123898.95
TXN-20240613-010,2024-06-13,PHI HOLDINGS WIRE,88000.00,USD,211898.95
TXN-20240614-011,2024-06-14,CHI GLOBAL INV2105,17500.00,USD,229398.95
TXN-20240617-012,2024-06-17,SOFTWARE LICENSE RENEW,3600.00,USD,225798.95
TXN-20240618-013,2024-06-18,PSI LTD INV2107,8200.00,USD,233998.95
TXN-20240619-014,2024-06-19,TAX PMT Q2 ESTIMATE,42000.00,USD,191998.95
TXN-20240620-015,2024-06-20,DIGITAL MARKETING JUNE,7800.00,USD,184198.95
TXN-20240621-016,2024-06-21,OMEGA II INV2109,29400.00,USD,213598.95
TXN-20240624-017,2024-06-24,TERM LOAN A REPAY,25000.00,USD,188598.95
TXN-20240625-018,2024-06-25,ACME II INV2111,18600.00,USD,207198.95
TXN-20240626-019,2024-06-26,SERVER EQUIP PURCHASE,12500.00,USD,194698.95
TXN-20240627-020,2024-06-27,SALES TRAVEL EXP,3100.00,USD,191598.95
TXN-20240628-021,2024-06-28,ZETA II INV2113,44200.00,USD,235798.95
TXN-20240628-022,2024-06-28,UTILITY BILL JUNE,1380.20,USD,234418.75
TXN-20240629-023,2024-06-29,PETTY CASH REIMB,420.00,USD,233998.75
TXN-20240630-024,2024-06-30,INTEREST SAVINGS JUNE,485.30,USD,234484.05
TXN-20240630-025,2024-06-30,EQUIPMENT LEASE JUN,3200.00,USD,231284.05
,2024-06-28,BANK WIRE FEE,35.00,USD,231249.05
,2024-06-30,BANK SERVICE CHARGE,250.00,USD,230999.05
